Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA
355,Tanguy Ndombele,France,MF,Tottenham,24,1996,9,6,484,5.4,1,1,1,0,0,1,0,0.19,0.19,0.37,0.19,0.37,0.5,0.5,0.4,0.9,0.09,0.07,0.16,0.09,0.16
356,Reiss Nelson,ENG,FW,Arsenal,21,1999,1,0,20,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.1,0.16,0.18,0.35,0.16,0.35
357,Pedro Neto,Portugal,FW/MF,Wolves,21,2000,13,5,466,5.2,1,1,1,0,0,3,0,0.19,0.19,0.39,0.19,0.39,1.5,1.5,1.1,2.6,0.29,0.22,0.51,0.29,0.51
358,Rúben Neves,Portugal,MF,Wolves,24,1997,33,31,2661,29.6,4,2,4,0,0,9,0,0.14,0.07,0.20,0.14,0.20,1.2,1.2,2.2,3.4,0.04,0.07,0.12,0.04,0.12
359,Jeremy Ngakia,ENG,DF,Watford,20,2000,16,9,903,10.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.5,0.6,0.01,0.05,0.06,0.01,0.06
360,Saúl Ñíguez,Spain,MF/DF,Chelsea,26,1994,10,5,480,5.3,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.3,0.5,0.04,0.06,0.10,0.04,0.10
361,Eddie Nketiah,ENG,FW,Arsenal,22,1999,21,8,835,9.3,5,1,5,0,0,3,0,0.54,0.11,0.65,0.54,0.65,4.6,4.6,1.4,6.1,0.50,0.16,0.65,0.50,0.65
362,Nicolas Nkoulou,CMR,DF,Watford,31,1990,3,2,168,1.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.01,0.01,0.00,0.01
363,Mark Noble,ENG,MF,West Ham,34,1987,11,3,332,3.7,1,0,0,1,2,0,0,0.27,0.00,0.27,0.00,0.00,1.5,0.0,0.2,0.2,0.41,0.06,0.47,0.00,0.06
364,Mathias Normann,Norway,MF,Norwich City,25,1996,23,20,1645,18.3,1,2,1,0,0,6,0,0.05,0.11,0.16,0.05,0.16,0.9,0.9,1.8,2.8,0.05,0.10,0.15,0.05,0.15
365,Christian Nørgaard,Denmark,MF,Brentford,27,1994,35,35,3054,33.9,3,4,3,0,0,8,0,0.09,0.12,0.21,0.09,0.21,3.2,3.2,3.1,6.3,0.09,0.09,0.19,0.09,0.19
366,Angelo Ogbonna,ITA,DF,West Ham,33,1988,11,11,921,10.2,1,0,1,0,0,1,0,0.10,0.00,0.10,0.10,0.10,0.3,0.3,0.0,0.3,0.03,0.00,0.03,0.03,0.03
367,Michael Olise,France,FW/MF,Crystal Palace,19,2001,26,12,1141,12.7,2,5,2,0,0,4,0,0.16,0.39,0.55,0.16,0.55,1.4,1.4,3.4,4.8,0.11,0.27,0.38,0.11,0.38
368,Robin Olsen,Sweden,GK,Aston Villa,31,1990,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
369,Andrew Omobamidele,Ireland,DF,Norwich City,19,2002,5,4,382,4.2,1,0,1,0,0,1,0,0.24,0.00,0.24,0.24,0.24,0.3,0.3,0.0,0.3,0.08,0.00,0.08,0.08,0.08
370,Tyler Onyango,ENG,MF/FW,Everton,18,2003,3,0,28,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.10,0.00,0.10,0.10,0.10
371,Frank Onyeka,Nigeria,MF,Brentford,23,1998,20,12,1045,11.6,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,1.1,1.1,0.2,1.3,0.10,0.02,0.11,0.10,0.11
372,Divock Origi,Belgium,FW,Liverpool,26,1995,7,0,133,1.5,3,0,3,0,0,0,0,2.03,0.00,2.03,2.03,2.03,1.6,1.6,0.0,1.6,1.08,0.00,1.08,1.08,1.08
