,Date,City,State,Dead,Injured,Total,Description,Year
2415,2018-02-17,Memphis,Tennessee,0,5,5,Five people were wounded in a shooting outside a nightclub.,2018
2416,2018-02-17,Kansas City,Kansas,1,7,8,One person was killed and seven others were injured at a party in what police suspect to be a gang-related shooting.,2018
2417,2018-02-16,Oklahoma City,Oklahoma,1,3,4,One person was killed and three were injured inside a home. The man who died had been receiving threats after falling out with a gang. Two people were arrested.,2018
2418,2018-02-14,Parkland,Florida,17,17,34,"Stoneman Douglas High School shooting: A former student of Marjory Stoneman Douglas High School entered the school, killed seventeen people, and wounded seventeen others. He was taken into custody by police.",2018
2419,2018-02-13,New Orleans,Louisiana,3,5,8,A series of shootings left three people dead and five others wounded during the Mardi Gras celebration in New Orleans.,2018
2420,2018-02-11,Detroit,Michigan,4,3,7,Three women were killed and three police officers were wounded before a gunman killed himself in a murder–suicide in a home.,2018
2421,2018-02-10,Paintsville,Kentucky,5,0,5,A gunman killed two people in a home and two other people in an apartment building before killing himself in a murder–suicide.,2018
2422,2018-02-07,Lake Worth,Florida,3,3,6,A man killed two people and injured three others in a series of shootings before being shot and killed by a police officer.,2018
2423,2018-02-05,Colorado Springs,Colorado,2,4,6,A sheriff's deputy was killed and three detectives and a passerby were wounded in a shooting. The suspect was killed by police.,2018
2424,2018-02-03,Cleveland,Ohio,1,5,6,One person was killed and five others were injured in a shooting at a sports bar.,2018
2425,2018-01-31,St. Louis,Missouri,0,4,4,Three people in a car and a man standing at a bus stop were injured when they were shot at by someone in another vehicle.,2018
2426,2018-01-28,Melcroft,Pennsylvania,5,0,5,"A man shot his ex-girlfriend and three other people at a car wash. The suspect also sustained a gunshot injury, suspected to be self-inflicted, and later died of his injuries.",2018
2427,2018-01-28,Reading,Pennsylvania,4,0,4,Four men were killed in a shooting in an apartment.,2018
2428,2018-01-28,Indianapolis,Indiana,2,3,5,Two were killed and three people were injured in a shooting at a bar.,2018
2429,2018-01-27,Los Angeles,California,0,5,5,Five people were injured in a gang-related drive-by shooting.,2018
2430,2018-01-27,Bowling Green,Kentucky,0,4,4,Four people were wounded in a fight in and outside a club.,2018
2431,2018-01-25,Washington,District of Columbia,0,4,4,Four people were injured in a shooting.,2018
2432,2018-01-23,Philadelphia,Pennsylvania,0,4,4,Four people were injured in a drive-by shooting.,2018
2433,2018-01-23,Benton,Kentucky,2,16,18,Marshall County High School Shooting: A fifteen-year-old student killed two other students and injured sixteen others before discarding his weapon and attempting to hide among other students. He was apprehended by police.,2018
2434,2018-01-21,Orlando,Florida,0,4,4,Four children were injured in a shooting. Two teenage suspects were arrested by police.,2018
2435,2018-01-21,Chicago,Illinois,0,4,4,Four people were injured after being shot near the entrance to a party.,2018
2436,2018-01-17,Washington,District of Columbia,1,3,4,A man killed one person and injured three others after determining them to be acquaintances of a person who stole his favorite pistol. The man was later taken into custody.,2018
2437,2018-01-15,Alachua,Florida,0,5,5,Five people were injured in a gang-related drive-by shooting believed to be related to a murder that had happened the previous day. Two suspects were arrested.,2018
2438,2018-01-14,Eutaw,Alabama,1,4,5,One person was killed and four were injured in a shooting following a fight at a biker club party.,2018
2439,2018-01-14,Madison,Alabama,0,4,4,Four people were injured in a shooting at a hotel. A suspect was arrested.,2018
2440,2018-01-12,Nashville,Tennessee,3,2,5,"A man wounded his stepmother and killed her two daughters before highjacking a car, killing the driver and wounding the passenger. A suspect was arrested after abandoning the car.",2018
2441,2018-01-11,St. Robert,Missouri,2,2,4,"Four people were discovered in a vehicle, two deceased and two wounded, after police responded to calls of an abandoned car.",2018
2442,2018-01-07,Union Springs,Alabama,1,5,6,A shooting on US Highway 29 led to the shooting of another person at a local hospital. One person was killed and five others were wounded. Three suspects were arrested.,2018
2443,2018-01-07,Plantation,Florida,0,4,4,Four people were wounded while leaving a private party.,2018
2444,2018-01-05,Hattiesburg,Mississippi,0,6,6,Six people were wounded in a drive-by shooting behind a bar.,2018
2445,2018-01-04,Brinkley,Arkansas,1,3,4,A 33-year-old was killed and three others wounded in a common area of an apartment complex.,2018
2446,2018-01-01,Huntsville,Alabama,1,3,4,A 21-year-old was killed and three others were wounded shortly after midnight at a New Year's Eve party.,2018
2447,2017-12-31,Highlands Ranch,Colorado,2,6,8,"Copper Canyon Apartment Homes shooting: After being called to a home for a report of a disturbance, five police officers were shot in an ""ambush-style"" attack. One officer was killed and the other four were wounded. Two other people were also wounded in a neighboring apartment. Officers later re-entered the apartment with a SWAT team and killed the suspect; another officer was injured in this exchange.",2017
2448,2017-12-07,Aztec,New Mexico,3,0,3,Aztec High School shooting: A man walked into Aztec High School disguised as a student and killed two before killing himself.,2017
2449,2017-11-13,Tehama County,California,6,12,18,"Rancho Tehama Reserve shootings: A man killed his wife and hid her body under the floorboards of their home before killing two neighbors, firing at random at people, and then ramming his truck through the gates of an elementary school and firing at those inside. He then drove away and targeted other random victims before being rammed by police and shooting himself. He killed five people and injured twelve others  before committing suicide.",2017
